onset	sample	event_code	cond_code
3.667569606	918	1	1
4.103518447	1027	5	1
4.379486062	1096	5	1
4.647454616	1163	201	1
5.04340815	1262	6	1
5.807318504	1453	6	1
6.379251387	1596	5	1
6.783203983	1697	201	1
6.883192249	1722	6	1
7.243150008	1812	3	1
7.559112929	1891	5	1
7.727093216	1933	201	1
7.99506177	2000	5	1
8.387015774	2098	2	1
8.838962737	2211	201	1
8.862959921	2217	5	1
9.274911578	2320	4	1
10.09081583	2524	6	1
10.48276983	2622	6	1
11.26667784	2818	5	1
11.50664968	2878	6	1
11.59463936	2900	201	1
11.82661213	2958	6	1
12.40254455	3102	4	1
12.71450794	3180	5	1
13.06646663	3268	201	1
13.07846523	3271	6	1
13.38242956	3347	6	1
13.63439999	3410	1	1
14.1183432	3531	6	1
14.614285	3655	3	1
14.92224886	3732	201	1
15.09422867	3775	5	1
15.45418643	3865	5	1
16.04611697	4013	5	1
16.20209866	4052	201	1
16.34608177	4088	5	1
16.56205642	4142	3	1
16.80602779	4203	5	1
17.15398696	4290	201	1
17.29397053	4325	5	1
17.65392829	4415	2	1
18.14587056	4538	6	1
18.48183113	4622	6	1
18.83378983	4710	3	1
19.45771661	4866	201	1
19.5337077	4885	6	1
20.10164105	5027	5	1
20.39760632	5101	6	1
20.68157299	5172	201	1
20.98953685	5249	5	1
21.54547161	5388	201	1
21.66545753	5418	6	1
22.36937493	5594	1	1
22.75332987	5690	5	1
23.28126791	5822	201	1
23.54123741	5887	5	1
24.18116231	6047	4	1
24.24915433	6064	201	1
24.45712993	6116	6	1
25.02506328	6258	5	1
25.25703606	6316	6	1
25.48100977	6372	201	1
25.75297786	6440	5	1
26.32891027	6584	201	1
26.46089478	6617	5	1
26.98083377	6747	4	1
27.21680607	6806	201	1
27.66875304	6919	6	1
28.3686709	7094	6	1
28.68863335	7174	6	1
29.27656436	7321	5	1
29.60452587	7403	2	1
29.68851602	7424	201	1
30.1044672	7528	5	1
30.52041839	7632	4	1
30.78438741	7698	201	1
30.83238178	7710	6	1
31.38831654	7849	6	1
31.7482743	7939	3	1
32.21621939	8056	201	1
32.26421376	8068	5	1
32.52818278	8134	5	1
33.16810768	8294	6	1
33.6920462	8425	4	1
34.35196875	8590	6	1
35.17587207	8796	4	1
35.47183734	8870	6	1
35.93978242	8987	6	1
36.33973549	9087	1	1
36.69569372	9176	201	1
36.72768996	9184	5	1
37.02365523	9258	4	1
37.74757028	9439	5	1
38.17552006	9546	201	1
38.51947969	9632	6	1
39.27539099	9821	5	1
39.6553464	9916	201	1
39.95931073	9992	6	1
40.77521498	10196	4	1
41.00318823	10253	5	1
41.40714082	10354	201	1
41.75509999	10441	5	1
42.27103944	10570	6	1
42.2790385	10572	201	1
43.01895167	10757	5	1
43.45090098	10865	201	1
43.67887423	10922	2	1
44.13082119	11035	6	1
44.39479022	11101	4	1
44.8747339	11221	6	1
45.44266725	11363	5	1
45.78262735	11448	3	1
45.85861844	11467	201	1
46.06659403	11519	6	1
46.37055836	11595	5	1
46.67852222	11672	6	1
47.02648139	11759	6	1
47.6544077	11916	1	1
48.10235513	12028	6	1
48.78627487	12199	3	1
49.08224014	12273	201	1
49.49819133	12377	5	1
49.85015002	12465	5	1
50.31009605	12580	5	1
50.41808338	12607	201	1
50.75804348	12692	3	1
51.18599326	12799	6	1
51.49795665	12877	5	1
51.74992708	12940	5	1
52.1178839	13032	2	1
52.64582195	13164	6	1
53.38173559	13348	4	1
54.08565298	13524	5	1
54.47360746	13621	201	1
54.69758117	13677	6	1
55.24151734	13813	6	1
55.66546759	13919	5	1
56.02142582	14008	6	1
56.04942253	14015	201	1
56.53736527	14137	6	1
57.20928642	14305	1	1
57.50525169	14379	201	1
57.72522587	14434	5	1
58.04918786	14515	6	1
58.34515313	14589	5	1
58.66111605	14668	4	1
58.77710244	14697	201	1
59.15705785	14792	5	1
59.46502171	14869	3	1
59.68899542	14925	201	1
60.09694755	15027	5	1
60.68887809	15175	201	1
60.72487386	15184	6	1
61.10482927	15279	5	1
61.63276732	15411	201	1
61.74875371	15440	2	1
62.12470959	15534	5	1
62.38867861	15600	6	1
62.67264529	15671	6	1
63.46055283	15868	6	1
63.72052232	15933	5	1
63.96049416	15993	4	1
64.07248102	16021	201	1
64.34844863	16090	6	1
65.08036274	16273	5	1
65.41632332	16357	6	1
65.42432238	16359	201	1
65.67629281	16422	4	1
66.36021255	16593	6	1
67.12812243	16785	5	1
67.47208207	16871	201	1
67.70005532	16928	3	1
68.36797693	17095	4	1
68.70393751	17179	201	1
69.12788776	17285	5	1
69.34786194	17340	5	1
69.56783613	17395	1	1
69.6558258	17417	201	1
70.08777511	17525	5	1
70.64770941	17665	201	1
70.87568265	17722	3	1
71.37962351	17848	5	1
71.7035855	17929	201	1
72.03154701	18011	5	1
72.28751697	18075	5	1
72.57548318	18147	5	1
72.83145314	18211	2	1
73.23140621	18311	6	1
73.63135927	18411	5	1
73.91132642	18481	3	1
74.03131234	18511	201	1
74.40326869	18604	6	1
74.65523912	18667	6	1
75.11118561	18781	3	1
75.51113868	18881	201	1
75.67511943	18922	6	1
76.21105654	19056	5	1
76.52301993	19134	201	1
76.97096736	19246	5	1
77.25493404	19317	6	1
77.67088523	19421	1	1
78.05484017	19517	6	1
78.40279934	19604	3	1
78.75475803	19692	5	1
78.77075616	19696	201	1
79.47467355	19872	3	1
79.73464304	19937	5	1
79.95861676	19993	6	1
80.09060127	20026	201	1
80.29457733	20077	5	1
80.59854166	20153	6	1
80.86651022	20220	201	1
81.34645389	20340	5	1
81.79840086	20453	3	1
81.97837974	20498	201	1
82.02237457	20509	4	1
82.38233233	20599	5	1
82.97426287	20747	6	1
83.0822502	20774	201	1
83.2262333	20810	5	1
83.45820608	20868	2	1
83.97414553	20997	5	1
84.33810282	21088	201	1
84.6620648	21169	6	1
85.06201787	21269	4	1
85.6139531	21407	6	1
86.253878	21567	6	1
86.55784233	21643	5	1
87.0097893	21756	201	1
87.17776958	21798	4	1
87.82569355	21960	6	1
88.43762174	22113	6	1
88.77358231	22197	5	1
89.17753491	22298	6	1
89.18553397	22300	201	1
89.48549877	22375	5	1
90.17341804	22547	1	1
90.25740818	22568	201	1
90.65336172	22667	6	1
91.20929648	22806	5	1
91.42527113	22860	3	1
91.64924485	22916	5	1
91.68124109	22924	201	1
92.34916271	23091	5	1
92.84110498	23214	6	1
92.92909466	23236	201	1
93.24105805	23314	5	1
93.68900548	23426	201	1
93.88898201	23476	5	1
94.48091255	23624	201	1
94.58889988	23651	2	1
94.99285247	23752	6	1
95.30081633	23829	4	1
95.95273983	23992	6	1
96.40868632	24106	5	1
96.88863	24226	201	1
97.12860184	24286	5	1
97.56855021	24396	6	1
98.31646244	24583	3	1
98.64842349	24666	201	1
