pres_trial	stimulus	type	latency
1	Picture	nonWM	1430.0
1	Picture	gD	2741.0
1	Picture	gM	3102.0
1	Picture	gB	3462.0
1	Picture	Y	3822.0
1	Picture	gH	4183.0
1	Picture	Q	4543.0
1	Picture	C	4903.0
1	Picture	gG	5264.0
1	Picture	WM	5624.0
1	Picture	rC	6521.0
1	Response	1	6848.992
2	Sound	correct	6968.192
2	Response	1	7593.992
3	Picture	nonWM	7611.0
3	Picture	J	8922.0
3	Picture	C	9283.0
3	Picture	F	9643.0
3	Picture	M	10003.0
3	Picture	gL	10364.0
3	Picture	K	10724.0
3	Picture	Q	11084.0
3	Picture	W	11445.0
3	Picture	WM	11805.0
3	Picture	rB	12430.0
3	Response	255	12688.992
4	Sound	correct	12808.192
4	Response	1	13340.992
5	Picture	nonWM	13360.0
5	Picture	gD	14671.0
5	Picture	Y	15032.0
5	Picture	gT	15392.0
5	Picture	gJ	15753.0
5	Picture	gM	16113.0
5	Picture	K	16473.0
5	Picture	B	16834.0
5	Picture	gF	17194.0
5	Picture	WM	17554.0
5	Picture	rB	18422.0
5	Response	1	18686.992
6	Sound	correct	18806.192
6	Response	255	18976.992
7	Picture	nonWM	18996.0
7	Picture	gC	20307.0
7	Picture	Z	20668.0
7	Picture	L	21028.0
7	Picture	K	21389.0
7	Picture	R	21749.0
7	Picture	G	22109.0
7	Picture	B	22470.0
7	Picture	T	22830.0
7	Picture	WM	23190.0
7	Picture	rZ	23765.0
7	Response	1	24024.992
8	Sound	correct	24144.192
8	Response	1	24927.992
9	Picture	nonWM	24946.0
9	Picture	X	26258.0
9	Picture	gC	26618.0
9	Picture	J	26979.0
9	Picture	H	27339.0
9	Picture	N	27699.0
9	Picture	D	28060.0
9	Picture	P	28420.0
9	Picture	S	28781.0
9	Picture	WM	29141.0
9	Picture	rL	30080.0
9	Response	255	30417.992
10	Sound	correct	30537.192
10	Response	1	30701.992
11	Picture	nonWM	30721.0
11	Picture	gF	32032.0
11	Picture	gB	32393.0
11	Picture	gC	32753.0
11	Picture	R	33113.0
11	Picture	M	33474.0
11	Picture	gJ	33834.0
11	Picture	gH	34195.0
11	Picture	T	34555.0
11	Picture	WM	34915.0
11	Picture	rS	35548.0
11	Response	255	35822.992
12	Sound	correct	35942.192
12	Response	1	36435.992
13	Picture	nonWM	36453.0
13	Picture	gS	37765.0
13	Picture	Z	38125.0
13	Picture	F	38486.0
13	Picture	gD	38846.0
13	Picture	gG	39206.0
13	Picture	W	39567.0
13	Picture	gV	39927.0
13	Picture	gQ	40287.0
13	Picture	WM	40648.0
13	Picture	rL	41490.0
13	Response	255	41727.992
14	Sound	correct	41847.192
14	Response	1	42762.992
15	Picture	nonWM	42781.0
15	Picture	gJ	44092.0
15	Picture	gC	44453.0
15	Picture	gL	44813.0
15	Picture	S	45173.0
15	Picture	G	45534.0
15	Picture	V	45894.0
15	Picture	gR	46255.0
15	Picture	gT	46615.0
15	Picture	WM	46975.0
15	Picture	rV	47587.0
15	Response	1	47949.992
16	Sound	correct	48069.192
16	Response	255	49083.992
17	Picture	nonWM	49100.0
17	Picture	Q	50412.0
17	Picture	gP	50772.0
17	Picture	J	51132.0
17	Picture	gT	51493.0
17	Picture	gZ	51853.0
17	Picture	gK	52213.0
17	Picture	D	52574.0
17	Picture	gC	52934.0
17	Picture	WM	53294.0
17	Picture	rJ	54095.0
17	Response	1	54382.992
18	Sound	correct	54502.192
18	Response	1	55812.992
19	Picture	nonWM	55830.0
19	Picture	P	57141.0
19	Picture	gT	57502.0
19	Picture	gZ	57862.0
19	Picture	gQ	58222.0
19	Picture	V	58583.0
19	Picture	gB	58943.0
19	Picture	X	59303.0
19	Picture	gG	59664.0
19	Picture	WM	60024.0
19	Picture	rV	60757.0
19	Response	1	61045.992
20	Sound	correct	61165.192
20	Response	1	63484.992
21	Picture	nonWM	63502.0
21	Picture	L	64814.0
21	Picture	gG	65174.0
21	Picture	Q	65535.0
21	Picture	F	65895.0
21	Picture	Z	66255.0
21	Picture	T	66616.0
21	Picture	gR	66976.0
21	Picture	gM	67337.0
21	Picture	WM	67697.0
21	Picture	rL	68678.0
21	Response	1	68915.992
22	Sound	correct	69035.192
22	Response	1	71030.992
23	Picture	nonWM	71049.0
23	Picture	gS	72361.0
23	Picture	C	72721.0
23	Picture	G	73082.0
23	Picture	P	73442.0
23	Picture	gF	73802.0
23	Picture	M	74163.0
23	Picture	gJ	74523.0
23	Picture	L	74884.0
23	Picture	WM	75244.0
23	Picture	rG	76048.0
23	Response	1	76277.992
24	Sound	correct	76397.192
24	Response	1	77522.992
25	Picture	nonWM	77540.0
25	Picture	gB	78852.0
25	Picture	gH	79212.0
25	Picture	D	79573.0
25	Picture	R	79933.0
25	Picture	N	80293.0
25	Picture	Z	80654.0
25	Picture	V	81014.0
25	Picture	gL	81374.0
25	Picture	WM	81735.0
25	Picture	rR	82539.0
25	Response	1	82722.992
26	Sound	correct	82843.192
26	Response	1	85227.992
27	Picture	nonWM	85247.0
27	Picture	W	86558.0
27	Picture	Z	86918.0
27	Picture	V	87279.0
27	Picture	D	87639.0
27	Picture	gF	88000.0
27	Picture	X	88360.0
27	Picture	M	88720.0
27	Picture	Y	89081.0
27	Picture	WM	89441.0
27	Picture	rG	90116.0
27	Response	255	90408.992
28	Sound	correct	90528.192
28	Response	1	92339.992
29	Picture	nonWM	92357.0
29	Picture	gJ	93669.0
29	Picture	gQ	94029.0
29	Picture	D	94390.0
29	Picture	H	94750.0
29	Picture	gX	95111.0
29	Picture	G	95471.0
29	Picture	gC	95831.0
29	Picture	gW	96192.0
29	Picture	WM	96552.0
29	Picture	rD	97445.0
29	Response	1	97625.992
30	Sound	correct	97745.192
30	Response	1	99800.992
31	Picture	nonWM	99817.0
31	Picture	K	101128.0
31	Picture	gW	101489.0
31	Picture	Z	101849.0
31	Picture	gQ	102209.0
31	Picture	D	102570.0
