value	event_type	face_type	rep_status
0	show_circle	n/a	n/a
1	show_cross	n/a	n/a
2	show_face_initial	famous_face	first_show
3	show_face_initial	unfamiliar_face	first_show
4	show_face_initial	scrambled_face	first_show
5	show_face	famous_face	first_show
6	show_face	famous_face	immediate_repeat
7	show_face	famous_face	delayed_repeat
13	show_face	unfamiliar_face	first_show
14	show_face	unfamiliar_face	immediate_repeat
15	show_face	unfamiliar_face	delayed_repeat
17	show_face	scrambled_face	first_show
18	show_face	scrambled_face	immediate_repeat
19	show_face	scrambled_face	delayed_repeat
101	setup_left_sym	n/a	n/a
102	setup_right_sym	n/a	n/a
256	left_press	n/a	n/a
4096	right_press	n/a	n/a
4352	double_press	n/a	n/a
