value	event_type	task_role	letter
A	show_letter	target	A
B	show_letter	target	B
C	show_letter	target	C
D	show_letter	target	D
E	show_letter	target	E
F	show_letter	target	F
G	show_letter	target	G
H	show_letter	target	H
I	show_letter	target	I
J	show_letter	target	J
K	show_letter	target	K
L	show_letter	target	L
M	show_letter	target	M
N	show_letter	target	N
O	show_letter	target	O
P	show_letter	target	P
Q	show_letter	target	Q
R	show_letter	target	R
S	show_letter	target	S
T	show_letter	target	T
U	show_letter	target	U
V	show_letter	target	V
W	show_letter	target	W
X	show_letter	target	X
Y	show_letter	target	Y
Z	show_letter	target	Z
gA	show_letter	nontarget	A
gB	show_letter	nontarget	B
gC	show_letter	nontarget	C
gD	show_letter	nontarget	D
gE	show_letter	nontarget	E
gF	show_letter	nontarget	F
gG	show_letter	nontarget	G
gH	show_letter	nontarget	H
gI	show_letter	nontarget	I
gJ	show_letter	nontarget	J
gK	show_letter	nontarget	K
gL	show_letter	nontarget	L
gM	show_letter	nontarget	M
gN	show_letter	nontarget	N
gO	show_letter	nontarget	O
gP	show_letter	nontarget	P
gQ	show_letter	nontarget	Q
gR	show_letter	nontarget	R
gS	show_letter	nontarget	S
gT	show_letter	nontarget	T
gU	show_letter	nontarget	U
gV	show_letter	nontarget	V
gW	show_letter	nontarget	W
gX	show_letter	nontarget	X
gY	show_letter	nontarget	Y
gZ	show_letter	nontarget	Z
rA	show_letter	probe_target	A
rB	show_letter	probe_target	B
rC	show_letter	probe_target	C
rD	show_letter	probe_target	D
rE	show_letter	probe_target	E
rF	show_letter	probe_target	F
rG	show_letter	probe_target	G
rH	show_letter	probe_target	H
rI	show_letter	probe_target	I
rJ	show_letter	probe_target	J
rK	show_letter	probe_target	K
rL	show_letter	probe_target	L
rM	show_letter	probe_target	M
rN	show_letter	probe_target	N
rO	show_letter	probe_target	O
rP	show_letter	probe_target	P
rQ	show_letter	probe_target	Q
rR	show_letter	probe_target	R
rS	show_letter	probe_target	S
rT	show_letter	probe_target	T
rU	show_letter	probe_target	U
rV	show_letter	probe_target	V
rW	show_letter	probe_target	W
rX	show_letter	probe_target	X
rY	show_letter	probe_target	Y
rZ	show_letter	probe_target	Z
WM	show_dash	work_memory	-
nonWM	show_cross	fixate	+
correct	sound_beep	feedback_correct	n/a
wrong	sound_buzz	feedback_incorrect	n/a
1	right_click	in_group_correct	n/a
255	left_click	out_group_correct	n/a
