pres_trial	stimulus	type	latency	event_type	task_role	letter
1	Picture	nonWM	1430.0	show_cross	ready	n/a
1	Picture	gD	2741.0	show_letter	non_target	D
1	Picture	gM	3102.0	show_letter	non_target	M
1	Picture	gB	3462.0	show_letter	non_target	B
1	Picture	Y	3822.0	show_letter	target	Y
1	Picture	gH	4183.0	show_letter	non_target	H
1	Picture	Q	4543.0	show_letter	target	Q
1	Picture	C	4903.0	show_letter	target	C
1	Picture	gG	5264.0	show_letter	non_target	G
1	Picture	WM	5624.0	show_dash	work_memory	n/a
1	Picture	rC	6521.0	show_letter	probe	C
1	Response	1	6848.992	right_click	in_group	n/a
2	Sound	correct	6968.192	sound_beep	correct_feedback	n/a
2	Response	1	7593.992	right_click	in_group	n/a
3	Picture	nonWM	7611.0	show_cross	ready	n/a
3	Picture	J	8922.0	show_letter	target	J
3	Picture	C	9283.0	show_letter	target	C
3	Picture	F	9643.0	show_letter	target	F
3	Picture	M	10003.0	show_letter	target	M
3	Picture	gL	10364.0	show_letter	non_target	L
3	Picture	K	10724.0	show_letter	target	K
3	Picture	Q	11084.0	show_letter	target	Q
3	Picture	W	11445.0	show_letter	target	W
3	Picture	WM	11805.0	show_dash	work_memory	n/a
3	Picture	rB	12430.0	show_letter	probe	B
3	Response	255	12688.992	response	unknown	n/a
4	Sound	correct	12808.192	sound_beep	correct_feedback	n/a
4	Response	1	13340.992	right_click	in_group	n/a
5	Picture	nonWM	13360.0	show_cross	ready	n/a
5	Picture	gD	14671.0	show_letter	non_target	D
5	Picture	Y	15032.0	show_letter	target	Y
5	Picture	gT	15392.0	show_letter	non_target	T
5	Picture	gJ	15753.0	show_letter	non_target	J
5	Picture	gM	16113.0	show_letter	non_target	M
5	Picture	K	16473.0	show_letter	target	K
5	Picture	B	16834.0	show_letter	target	B
5	Picture	gF	17194.0	show_letter	non_target	F
5	Picture	WM	17554.0	show_dash	work_memory	n/a
5	Picture	rB	18422.0	show_letter	probe	B
5	Response	1	18686.992	right_click	in_group	n/a
6	Sound	correct	18806.192	sound_beep	correct_feedback	n/a
6	Response	255	18976.992	response	unknown	n/a
7	Picture	nonWM	18996.0	show_cross	ready	n/a
7	Picture	gC	20307.0	show_letter	non_target	C
7	Picture	Z	20668.0	show_letter	target	Z
7	Picture	L	21028.0	show_letter	target	L
7	Picture	K	21389.0	show_letter	target	K
7	Picture	R	21749.0	show_letter	target	R
7	Picture	G	22109.0	show_letter	target	G
7	Picture	B	22470.0	show_letter	target	B
7	Picture	T	22830.0	show_letter	target	T
7	Picture	WM	23190.0	show_dash	work_memory	n/a
7	Picture	rZ	23765.0	show_letter	probe	Z
7	Response	1	24024.992	right_click	in_group	n/a
8	Sound	correct	24144.192	sound_beep	correct_feedback	n/a
8	Response	1	24927.992	right_click	in_group	n/a
9	Picture	nonWM	24946.0	show_cross	ready	n/a
9	Picture	X	26258.0	show_letter	target	X
9	Picture	gC	26618.0	show_letter	non_target	C
9	Picture	J	26979.0	show_letter	target	J
9	Picture	H	27339.0	show_letter	target	H
9	Picture	N	27699.0	show_letter	target	N
9	Picture	D	28060.0	show_letter	target	D
9	Picture	P	28420.0	show_letter	target	P
9	Picture	S	28781.0	show_letter	target	S
9	Picture	WM	29141.0	show_dash	work_memory	n/a
9	Picture	rL	30080.0	show_letter	probe	L
9	Response	255	30417.992	response	unknown	n/a
10	Sound	correct	30537.192	sound_beep	correct_feedback	n/a
10	Response	1	30701.992	right_click	in_group	n/a
11	Picture	nonWM	30721.0	show_cross	ready	n/a
11	Picture	gF	32032.0	show_letter	non_target	F
11	Picture	gB	32393.0	show_letter	non_target	B
11	Picture	gC	32753.0	show_letter	non_target	C
11	Picture	R	33113.0	show_letter	target	R
11	Picture	M	33474.0	show_letter	target	M
11	Picture	gJ	33834.0	show_letter	non_target	J
11	Picture	gH	34195.0	show_letter	non_target	H
11	Picture	T	34555.0	show_letter	target	T
11	Picture	WM	34915.0	show_dash	work_memory	n/a
11	Picture	rS	35548.0	show_letter	probe	S
11	Response	255	35822.992	response	unknown	n/a
12	Sound	correct	35942.192	sound_beep	correct_feedback	n/a
12	Response	1	36435.992	right_click	in_group	n/a
13	Picture	nonWM	36453.0	show_cross	ready	n/a
13	Picture	gS	37765.0	show_letter	non_target	S
13	Picture	Z	38125.0	show_letter	target	Z
13	Picture	F	38486.0	show_letter	target	F
13	Picture	gD	38846.0	show_letter	non_target	D
13	Picture	gG	39206.0	show_letter	non_target	G
13	Picture	W	39567.0	show_letter	target	W
13	Picture	gV	39927.0	show_letter	non_target	V
13	Picture	gQ	40287.0	show_letter	non_target	Q
13	Picture	WM	40648.0	show_dash	work_memory	n/a
13	Picture	rL	41490.0	show_letter	probe	L
13	Response	255	41727.992	response	unknown	n/a
